System,User,Operation,Object,Date,Day,Time
1,11,12,,20200101,3,131345
1,3,1,,20200101,3,131410
1,17,1,,20200101,3,131601
2,13,8,18,20200101,3,131614
1,9,3,3,20200101,3,131614
1,11,12,,20200101,3,131825
1,12,2,,20200101,3,131900
1,12,1,,20200101,3,132004
1,10,15,,20200101,3,132134
1,21,2,,20200101,3,132137
1,18,2,,20200101,3,132335
1,18,1,,20200101,3,132345
1,1,7,4,20200101,3,132500
1,8,3,3,20200101,3,132625
1,12,8,5,20200101,3,132709
1,18,2,,20200101,3,132739
1,16,3,19,20200101,3,132815
1,18,1,,20200101,3,132822
1,1,7,3,20200101,3,132912
1,11,14,,20200101,3,133349
1,4,3,3,20200101,3,133551
2,22,3,18,20200101,3,133556
1,20,2,,20200101,3,133648
1,8,3,4,20200101,3,133730
1,16,8,14,20200101,3,133812
1,7,3,4,20200101,3,133842
1,16,7,13,20200101,3,134312
1,17,5,6,20200101,3,134331
1,19,1,,20200101,3,134335
1,16,4,14,20200101,3,134412
2,13,3,18,20200101,3,134424
1,2,4,12,20200101,3,134454
1,5,3,4,20200101,3,134502
1,19,3,19,20200101,3,134543
1,11,11,,20200101,3,134557
1,19,2,,20200101,3,134645
1,2,7,4,20200101,3,134645
2,22,4,15,20200101,3,134935
1,15,1,,20200101,3,135012
1,15,3,8,20200101,3,135018
1,15,2,,20200101,3,135021
1,19,1,,20200101,3,135106
1,13,3,19,20200101,3,135115
1,13,4,19,20200101,3,135135
2,14,7,18,20200101,3,135210
1,11,15,,20200101,3,135348
1,20,1,,20200101,3,135426
1,16,4,13,20200101,3,135446
2,18,4,16,20200101,3,135458
1,12,2,,20200101,3,135528
2,19,3,18,20200101,3,135609
1,17,2,,20200101,3,135635
1,6,2,,20200101,3,135836
1,11,14,,20200101,3,135857
1,21,1,,20200101,3,140115
1,17,1,,20200101,3,140128
2,20,4,18,20200101,3,140328
2,19,3,17,20200101,3,140347
1,1,3,9,20200101,3,140436
1,12,1,,20200101,3,140623
1,17,5,1,20200101,3,140707
2,18,7,15,20200101,3,140741
1,14,7,19,20200101,3,140859
1,7,2,,20200101,3,140907
1,16,4,13,20200101,3,140913
2,13,4,18,20200101,3,141040
1,10,11,,20200101,3,141118
2,20,3,16,20200101,3,141141
1,14,4,19,20200101,3,141301
1,12,2,,20200101,3,141416
1,16,7,13,20200101,3,141428
2,19,3,16,20200101,3,141500
1,15,1,,20200101,3,141509
1,16,7,14,20200101,3,141556
1,10,13,,20200101,3,141624
1,15,3,8,20200101,3,141625
1,12,1,,20200101,3,141645
1,15,2,,20200101,3,141659
1,20,2,,20200101,3,141702
1,6,1,,20200101,3,141718
2,18,4,15,20200101,3,141809
1,15,1,,20200101,3,141822
1,12,8,1,20200101,3,141954
1,15,7,8,20200101,3,142044
1,16,3,3,20200101,3,142148
2,18,3,15,20200101,3,142337
1,18,2,,20200101,3,142520
1,3,2,,20200101,3,142609
1,3,1,,20200101,3,143002
1,11,15,,20200101,3,143016
2,13,8,18,20200101,3,143210
2,21,3,15,20200101,3,143355
1,14,4,19,20200101,3,143523
2,15,3,18,20200101,3,143746
1,10,11,,20200101,3,143756
1,19,2,,20200101,3,143756
2,13,3,17,20200101,3,143905
2,13,7,18,20200101,3,143959
1,5,3,4,20200101,3,144013
1,1,2,,20200101,3,144105
1,17,2,,20200101,3,144135
1,15,3,8,20200101,3,144219
1,16,2,,20200101,3,144325
1,20,1,,20200101,3,144350
1,11,12,,20200101,3,144540
1,6,2,,20200101,3,144730
1,19,1,,20200101,3,144957
1,19,3,19,20200101,3,145005
2,20,3,17,20200101,3,145040
1,15,8,8,20200101,3,145255
1,17,1,,20200101,3,145318
1,10,2,,20200101,3,145346
2,13,3,17,20200101,3,145359
2,20,3,18,20200101,3,145415
1,18,1,,20200101,3,145425
1,10,1,,20200101,3,145448
1,16,1,,20200101,3,145508
2,21,3,18,20200101,3,145922
1,13,3,11,20200101,3,145958
2,18,8,15,20200101,3,150105
2,13,4,18,20200101,3,150155
1,15,3,8,20200101,3,150307
1,10,14,,20200101,3,150452
1,6,1,,20200101,3,150610
1,16,4,14,20200101,3,150622
1,10,11,,20200101,3,150824
1,9,3,4,20200101,3,150847
1,2,7,4,20200101,3,150905
2,22,4,15,20200101,3,150928
1,2,4,4,20200101,3,151012
2,14,8,18,20200101,3,151148
1,19,3,19,20200101,3,151339
1,2,2,,20200101,3,151343
2,22,3,18,20200101,3,151402
1,11,13,,20200101,3,151453
2,12,7,17,20200101,3,151457
1,9,2,,20200101,3,151513
1,12,7,6,20200101,3,151550
1,3,4,4,20200101,3,151552
1,17,2,,20200101,3,151605
1,12,8,7,20200101,3,151622
1,10,13,,20200101,3,151720
1,12,2,,20200101,3,151832
2,15,3,18,20200101,3,151953
1,16,8,12,20200101,3,152014
2,19,3,16,20200101,3,152203
1,17,1,,20200101,3,152247
1,19,2,,20200101,3,152346
1,11,15,,20200101,3,152412
2,22,3,15,20200101,3,152427
2,17,5,16,20200101,3,152431
1,20,2,,20200101,3,152635
1,15,8,8,20200101,3,152643
1,12,1,,20200101,3,152938
1,20,1,,20200101,3,152951
1,21,2,,20200101,3,153025
1,9,1,,20200101,3,153046
2,18,3,15,20200101,3,153053
1,15,2,,20200101,3,153142
1,19,1,,20200101,3,153145
2,18,8,15,20200101,3,153200
1,10,12,,20200101,3,153217
2,19,3,18,20200101,3,153334
1,21,1,,20200101,3,153615
2,20,7,18,20200101,3,153639
1,15,1,,20200101,3,153705
1,19,3,19,20200101,3,153727
1,16,4,14,20200101,3,153740
1,12,2,,20200101,3,153934
1,16,3,12,20200101,3,153936
2,21,4,15,20200101,3,154014
1,3,2,,20200101,3,154102
1,15,2,,20200101,3,154239
1,16,3,9,20200101,3,154307
1,15,1,,20200101,3,154403
2,21,3,18,20200101,3,154512
1,12,1,,20200101,3,154558
1,16,8,12,20200101,3,154635
1,14,7,19,20200101,3,154824
1,16,4,10,20200101,3,154942
1,19,2,,20200101,3,155022
2,20,4,18,20200101,3,155119
1,20,2,,20200101,3,155140
1,19,1,,20200101,3,155247
1,20,1,,20200101,3,155320
1,14,2,,20200101,3,155436
2,22,4,15,20200101,3,155452
2,20,8,18,20200101,3,155528
1,14,1,,20200101,3,155807
2,19,3,17,20200101,3,155917
1,14,2,,20200101,3,160047
1,2,1,,20200101,3,160056
1,14,1,,20200101,3,160105
2,20,8,18,20200101,3,160119
2,18,7,15,20200101,3,160518
1,15,8,8,20200101,3,160602
1,9,2,,20200101,3,160635
2,21,3,18,20200101,3,160717
1,10,13,,20200101,3,161007
1,11,15,,20200101,3,161030
2,22,3,15,20200101,3,161049
1,3,1,,20200101,3,161220
1,19,2,,20200101,3,161228
2,13,3,16,20200101,3,161241
1,2,2,,20200101,3,161412
2,20,3,16,20200101,3,161445
1,19,1,,20200101,3,161655
1,15,8,8,20200101,3,161951
1,22,2,,20200101,3,162022
1,19,3,19,20200101,3,162133
1,9,1,,20200101,3,162408
1,12,8,2,20200101,3,162512
1,16,2,,20200101,3,162529
1,2,1,,20200101,3,162604
1,15,2,,20200101,3,162901
1,16,1,,20200101,3,162913
2,12,8,17,20200101,3,162934
1,19,3,19,20200101,3,163120
2,18,8,15,20200101,3,163410
1,15,1,,20200101,3,163416
1,9,2,,20200101,3,163447
1,4,2,,20200101,3,163452
1,5,3,3,20200101,3,163501
1,16,2,,20200101,3,163547
1,14,8,19,20200101,3,163649
2,18,7,16,20200101,3,163937
1,22,1,,20200101,3,163948
1,17,2,,20200101,3,164012
1,10,2,,20200101,3,164141
2,12,7,17,20200101,3,164329
2,18,7,15,20200101,3,164334
2,18,8,15,20200101,3,164547
1,16,1,,20200101,3,164547
1,1,1,,20200101,3,164633
2,18,3,15,20200101,3,164633
1,17,1,,20200101,3,164702
2,20,3,16,20200101,3,164847
1,17,2,,20200101,3,165115
2,18,3,16,20200101,3,165133
1,13,4,19,20200101,3,165206
2,20,8,18,20200101,3,165227
2,18,3,16,20200101,3,165349
2,19,3,16,20200101,3,165352
2,14,7,18,20200101,3,165553
1,1,8,4,20200101,3,165618
1,3,7,4,20200101,3,165643
1,15,2,,20200101,3,165800
2,22,4,15,20200101,3,165815
1,10,1,,20200101,3,165917
2,14,8,18,20200101,3,165955
1,15,1,,20200101,3,165958
1,13,4,19,20200102,4,90118
1,15,8,8,20200102,4,90208
2,18,4,15,20200102,4,90245
1,10,14,,20200102,4,90246
1,11,13,,20200102,4,90315
2,13,3,17,20200102,4,90337
1,10,13,,20200102,4,90337
1,11,2,,20200102,4,90519
1,15,3,8,20200102,4,90614
1,15,4,8,20200102,4,91008
1,16,7,12,20200102,4,91100
2,20,7,18,20200102,4,91147
1,15,8,8,20200102,4,91221
1,15,2,,20200102,4,91335
1,15,1,,20200102,4,91444
2,14,3,16,20200102,4,91535
2,21,4,15,20200102,4,91554
2,22,3,15,20200102,4,91640
1,1,4,3,20200102,4,91650
1,17,1,,20200102,4,91839
1,11,1,,20200102,4,91910
2,20,7,18,20200102,4,91922
1,12,3,7,20200102,4,91924
1,14,2,,20200102,4,92046
1,14,1,,20200102,4,92109
2,18,8,16,20200102,4,92135
1,11,12,,20200102,4,92441
1,13,7,11,20200102,4,92518
1,8,3,4,20200102,4,92529
1,17,5,12,20200102,4,92630
1,12,2,,20200102,4,92635
2,13,8,18,20200102,4,92642
2,19,3,18,20200102,4,92903
1,8,2,,20200102,4,93007
1,17,2,,20200102,4,93144
2,20,3,17,20200102,4,93341
1,14,4,11,20200102,4,93357
1,17,1,,20200102,4,93516
1,20,2,,20200102,4,93529
1,5,2,,20200102,4,93853
2,18,4,16,20200102,4,93854
1,17,2,,20200102,4,93916
1,8,1,,20200102,4,93916
1,15,8,8,20200102,4,94017
1,16,7,12,20200102,4,94033
1,19,2,,20200102,4,94058
1,19,1,,20200102,4,94244
1,22,2,,20200102,4,94419
1,3,2,,20200102,4,94519
1,10,13,,20200102,4,94631
1,17,1,,20200102,4,94653
1,12,1,,20200102,4,94847
1,3,1,,20200102,4,94848
1,19,2,,20200102,4,94903
1,12,3,5,20200102,4,94953
1,11,15,,20200102,4,95049
1,16,2,,20200102,4,95119
1,16,1,,20200102,4,95228
1,12,7,1,20200102,4,95401
2,21,4,15,20200102,4,95440
1,17,5,2,20200102,4,95445
1,13,2,,20200102,4,95626
1,19,1,,20200102,4,95709
1,22,1,,20200102,4,95758
1,13,1,,20200102,4,95801
2,13,4,18,20200102,4,95808
1,2,3,4,20200102,4,95817
1,16,8,12,20200102,4,100059
1,20,1,,20200102,4,100142
1,12,2,,20200102,4,100222
1,19,2,,20200102,4,100246
2,22,3,18,20200102,4,100353
1,13,2,,20200102,4,100451
1,8,2,,20200102,4,100506
2,20,4,18,20200102,4,100517
1,12,1,,20200102,4,100605
1,16,2,,20200102,4,100607
2,15,3,18,20200102,4,100630
1,14,2,,20200102,4,100714
1,17,5,5,20200102,4,100904
2,20,3,16,20200102,4,101035
1,9,1,,20200102,4,101042
1,19,1,,20200102,4,101200
2,21,3,15,20200102,4,101230
2,21,4,15,20200102,4,101310
2,18,8,16,20200102,4,101458
1,4,1,,20200102,4,101627
1,17,5,5,20200102,4,101722
1,11,11,,20200102,4,101859
1,20,2,,20200102,4,101908
1,16,1,,20200102,4,102055
2,19,3,16,20200102,4,102123
1,9,3,3,20200102,4,102218
1,15,2,,20200102,4,102346
1,15,1,,20200102,4,102349
1,20,1,,20200102,4,102528
1,14,1,,20200102,4,102656
1,2,7,3,20200102,4,102803
1,17,5,8,20200102,4,102803
2,12,3,17,20200102,4,102830
2,22,4,15,20200102,4,102838
1,17,2,,20200102,4,102907
1,19,2,,20200102,4,102919
1,12,7,1,20200102,4,102924
2,18,3,15,20200102,4,103004
1,5,1,,20200102,4,103400
1,16,4,13,20200102,4,103435
2,15,3,18,20200102,4,103521
1,16,7,12,20200102,4,103531
1,19,1,,20200102,4,103553
1,22,2,,20200102,4,103640
1,17,1,,20200102,4,103738
2,20,4,18,20200102,4,103818
1,14,8,19,20200102,4,103843
2,21,3,15,20200102,4,104004
1,12,2,,20200102,4,104005
1,16,8,12,20200102,4,104219
2,18,4,15,20200102,4,104226
1,19,2,,20200102,4,104229
2,21,3,18,20200102,4,104313
1,14,2,,20200102,4,104316
2,18,8,15,20200102,4,104344
1,8,1,,20200102,4,104520
1,19,1,,20200102,4,104530
1,13,1,,20200102,4,104630
1,22,1,,20200102,4,104654
1,12,1,,20200102,4,104712
1,11,2,,20200102,4,104746
2,17,5,16,20200102,4,104845
1,14,1,,20200102,4,105055
1,11,1,,20200102,4,105230
1,15,3,8,20200102,4,105336
1,13,7,19,20200102,4,105336
2,18,4,15,20200102,4,105346
1,17,2,,20200102,4,105356
1,3,3,5,20200102,4,105359
1,11,12,,20200102,4,105435
2,19,3,18,20200102,4,105445
1,12,8,2,20200102,4,105601
1,14,2,,20200102,4,105758
2,20,4,18,20200102,4,105853
2,21,4,15,20200102,4,110129
1,16,8,12,20200102,4,110202
1,17,1,,20200102,4,110239
1,2,4,12,20200102,4,110343
1,1,7,3,20200102,4,110343
1,15,3,8,20200102,4,110446
1,15,7,8,20200102,4,110526
2,13,7,18,20200102,4,110844
1,15,4,8,20200102,4,110918
2,19,3,18,20200102,4,110956
1,17,5,12,20200102,4,111009
2,20,4,18,20200102,4,111102
2,20,3,16,20200102,4,111114
2,15,3,18,20200102,4,111133
1,19,2,,20200102,4,111145
1,17,2,,20200102,4,111254
1,10,12,,20200102,4,111433
1,16,8,12,20200102,4,111444
2,20,8,18,20200102,4,111523
1,19,1,,20200102,4,111701
1,4,2,,20200102,4,111725
1,19,2,,20200102,4,111743
1,22,2,,20200102,4,111753
2,13,3,15,20200102,4,111917
1,22,1,,20200102,4,111918
2,21,3,18,20200102,4,111925
1,14,1,,20200102,4,111945
2,14,8,18,20200102,4,112113
1,11,11,,20200102,4,112207
1,4,1,,20200102,4,112235
2,13,4,18,20200102,4,112237
1,12,8,7,20200102,4,112441
2,20,7,18,20200102,4,112512
1,12,2,,20200102,4,112534
1,14,4,19,20200102,4,112639
2,18,3,15,20200102,4,112643
2,13,4,18,20200102,4,112817
2,14,7,18,20200102,4,112945
1,3,8,9,20200102,4,112952
1,17,1,,20200102,4,113008
1,17,5,9,20200102,4,113040
1,4,3,4,20200102,4,113145
2,18,7,16,20200102,4,113250
1,12,1,,20200102,4,113422
2,18,3,15,20200102,4,113434
1,15,3,8,20200102,4,113440
1,19,1,,20200102,4,113500
1,11,12,,20200102,4,113543
1,19,2,,20200102,4,113635
1,7,1,,20200102,4,113650
1,12,8,6,20200102,4,113651
1,10,2,,20200102,4,113732
1,9,3,3,20200102,4,113900
1,12,3,1,20200102,4,114031
1,15,4,8,20200102,4,114158
2,13,8,18,20200102,4,114208
1,11,12,,20200102,4,114312
2,20,7,18,20200102,4,114402
1,19,1,,20200102,4,114559
1,19,2,,20200102,4,114616
1,14,8,11,20200102,4,114640
1,13,4,11,20200102,4,114741
1,10,1,,20200102,4,114742
1,11,2,,20200102,4,114904
1,21,2,,20200102,4,114944
1,3,8,9,20200102,4,115000
1,11,1,,20200102,4,115059
1,16,2,,20200102,4,115223
1,3,3,13,20200102,4,115231
1,15,4,8,20200102,4,115334
1,17,2,,20200102,4,115457
1,15,4,8,20200102,4,115641
1,14,2,,20200102,4,115726
2,18,8,15,20200102,4,115748
2,18,8,16,20200102,4,115810
1,21,1,,20200102,4,115941
1,10,2,,20200102,4,120001
2,20,8,18,20200102,4,120006
2,21,3,15,20200102,4,120015
1,16,1,,20200102,4,120131
1,11,13,,20200102,4,120203
1,15,7,8,20200102,4,120307
2,12,3,17,20200102,4,120430
1,18,2,,20200102,4,120438
2,21,4,15,20200102,4,120526
1,15,3,8,20200102,4,120552
1,19,1,,20200102,4,120658
1,19,2,,20200102,4,120754
2,20,7,18,20200102,4,120839
1,19,1,,20200102,4,120859
1,2,4,12,20200102,4,120905
1,12,8,6,20200102,4,121152
1,14,1,,20200102,4,121203
1,18,1,,20200102,4,121218
2,18,4,15,20200102,4,121252
1,2,2,,20200102,4,121300
2,20,4,18,20200102,4,121409
1,16,2,,20200102,4,121544
2,18,8,16,20200102,4,121730
1,3,3,10,20200102,4,121740
1,12,2,,20200102,4,121912
1,17,1,,20200102,4,122002
1,16,1,,20200102,4,122040
2,17,5,17,20200102,4,122110
1,17,2,,20200102,4,122157
1,12,1,,20200102,4,122303
2,20,7,18,20200102,4,122341
1,19,2,,20200102,4,122510
1,21,2,,20200102,4,122734
2,13,8,18,20200102,4,122748
1,21,1,,20200102,4,122829
1,16,7,13,20200102,4,122842
1,6,3,3,20200102,4,123018
2,22,4,15,20200102,4,123040
1,14,2,,20200102,4,123046
1,15,4,8,20200102,4,123058
2,18,8,15,20200102,4,123249
2,18,8,16,20200102,4,123333
1,19,1,,20200102,4,123410
1,11,14,,20200102,4,123428
2,22,3,15,20200102,4,123512
2,22,3,18,20200102,4,123603
2,20,4,18,20200102,4,123612
2,21,4,15,20200102,4,123649
1,12,8,1,20200102,4,123719
2,18,4,16,20200102,4,123758
1,16,3,10,20200102,4,123828
1,16,7,13,20200102,4,123837
2,15,3,18,20200102,4,123901
1,16,7,12,20200102,4,123913
1,10,1,,20200102,4,123957
1,17,1,,20200102,4,124025
1,21,2,,20200102,4,124110
1,5,3,3,20200102,4,124210
1,16,3,12,20200102,4,124353
1,20,2,,20200102,4,124430
1,17,5,3,20200102,4,124434
1,10,11,,20200102,4,124453
1,10,11,,20200102,4,124524
1,22,2,,20200102,4,124607
1,16,2,,20200102,4,124837
1,12,3,1,20200102,4,125011
2,18,8,15,20200102,4,125101
1,20,1,,20200102,4,125122
1,5,2,,20200102,4,125210
2,20,4,18,20200102,4,125425
2,17,5,17,20200102,4,125454
1,16,1,,20200102,4,125526
1,15,7,8,20200102,4,125533
1,2,1,,20200102,4,125549
1,12,7,1,20200102,4,125645
1,14,1,,20200102,4,125823
2,3,4,16,20200102,4,125843
1,12,8,7,20200102,4,125947
1,11,14,,20200102,4,130257
1,18,2,,20200102,4,130258
1,12,3,7,20200102,4,130344
1,15,4,8,20200102,4,130601
1,8,3,3,20200102,4,130731
1,18,1,,20200102,4,130732
2,20,3,16,20200102,4,130833
1,10,2,,20200102,4,130838
1,22,1,,20200102,4,131003
1,1,7,9,20200102,4,131242
1,21,1,,20200102,4,131343
1,6,3,4,20200102,4,131408
1,16,2,,20200102,4,131506
2,20,4,18,20200102,4,131640
1,2,3,14,20200102,4,131654
