,System,User,Operation,Object,Date,Day,Time
121,1,18,2,,20200101,3,104928
122,1,11,15,,20200101,3,104945
123,1,15,1,,20200101,3,105057
124,1,15,7,8.0,20200101,3,105142
125,1,10,13,,20200101,3,105342
126,1,17,1,,20200101,3,105350
127,1,3,3,11.0,20200101,3,105549
128,1,3,3,4.0,20200101,3,105640
129,1,9,3,4.0,20200101,3,105646
130,1,16,3,10.0,20200101,3,105706
131,2,20,3,16.0,20200101,3,105727
132,1,18,1,,20200101,3,105841
133,1,22,1,,20200101,3,105854
134,2,22,3,18.0,20200101,3,110004
135,1,15,3,8.0,20200101,3,110043
136,1,19,1,,20200101,3,110108
137,1,3,2,,20200101,3,110126
138,1,16,8,10.0,20200101,3,110306
139,1,12,7,6.0,20200101,3,110317
140,1,12,7,5.0,20200101,3,110436
141,1,5,1,,20200101,3,110601
142,1,5,3,4.0,20200101,3,110709
143,1,7,1,,20200101,3,110712
144,2,18,7,15.0,20200101,3,110842
145,1,12,2,,20200101,3,110906
146,1,3,1,,20200101,3,111044
147,1,19,2,,20200101,3,111051
148,2,14,3,15.0,20200101,3,111130
149,1,16,3,11.0,20200101,3,111222
150,2,15,3,18.0,20200101,3,111443
151,1,17,5,7.0,20200101,3,111504
152,1,17,2,,20200101,3,111628
153,2,18,7,16.0,20200101,3,111716
154,1,17,1,,20200101,3,111728
155,1,12,1,,20200101,3,111735
156,1,17,2,,20200101,3,111735
157,1,14,2,,20200101,3,111806
158,1,17,1,,20200101,3,111838
159,2,22,4,15.0,20200101,3,111854
160,2,20,8,18.0,20200101,3,111936
161,1,3,7,3.0,20200101,3,112157
162,1,16,7,14.0,20200101,3,112242
163,1,8,2,,20200101,3,112315
164,2,21,4,15.0,20200101,3,112347
165,1,20,2,,20200101,3,112424
166,1,16,8,13.0,20200101,3,112552
167,1,22,2,,20200101,3,112611
168,1,18,2,,20200101,3,112724
169,1,17,5,6.0,20200101,3,112726
170,1,2,3,12.0,20200101,3,112817
171,1,13,4,19.0,20200101,3,112828
172,1,20,1,,20200101,3,112942
173,1,6,1,,20200101,3,112952
174,1,17,5,2.0,20200101,3,112954
175,1,19,1,,20200101,3,113000
176,1,18,1,,20200101,3,113051
177,2,2,4,16.0,20200101,3,113056
178,1,16,2,,20200101,3,113121
179,1,5,2,,20200101,3,113158
180,1,3,4,3.0,20200101,3,113242
181,1,12,4,2.0,20200101,3,113444
182,1,12,2,,20200101,3,113447
183,1,11,15,,20200101,3,113600
184,1,15,8,8.0,20200101,3,113810
185,2,18,3,15.0,20200101,3,113829
186,1,16,1,,20200101,3,113927
187,1,15,7,8.0,20200101,3,114134
188,1,6,2,,20200101,3,114204
189,1,5,1,,20200101,3,114204
190,1,12,1,,20200101,3,114246
191,1,1,3,1.0,20200101,3,114336
192,1,14,1,,20200101,3,114348
193,1,20,2,,20200101,3,114440
194,1,11,14,,20200101,3,114526
195,2,13,3,17.0,20200101,3,114538
196,1,12,8,5.0,20200101,3,114605
197,1,3,8,4.0,20200101,3,114621
198,1,16,7,14.0,20200101,3,114736
199,1,17,2,,20200101,3,114801
200,2,18,3,16.0,20200101,3,114817
201,1,6,1,,20200101,3,114822
202,1,12,3,2.0,20200101,3,114920
203,1,13,7,11.0,20200101,3,115017
204,2,18,8,16.0,20200101,3,115040
205,1,15,2,,20200101,3,115043
206,1,17,1,,20200101,3,115342
207,1,3,2,,20200101,3,115558
208,1,19,3,19.0,20200101,3,115633
209,1,17,5,3.0,20200101,3,115642
210,1,18,2,,20200101,3,115727
211,2,21,3,15.0,20200101,3,115737
212,1,15,1,,20200101,3,120002
213,1,22,1,,20200101,3,120331
214,2,14,3,16.0,20200101,3,120552
215,1,15,8,8.0,20200101,3,120621
216,1,17,2,,20200101,3,121034
217,1,5,3,4.0,20200101,3,121035
218,1,22,2,,20200101,3,121215
219,1,18,1,,20200101,3,121221
220,1,12,8,1.0,20200101,3,121403
221,1,17,1,,20200101,3,121414
222,1,12,8,6.0,20200101,3,121432
223,2,18,3,16.0,20200101,3,121435
224,1,19,2,,20200101,3,121643
225,1,10,12,,20200101,3,121701
226,1,1,8,4.0,20200101,3,121718
227,2,17,5,16.0,20200101,3,121809
228,1,14,8,19.0,20200101,3,122016
229,1,16,3,19.0,20200101,3,122349
230,1,10,14,,20200101,3,122418
231,1,13,7,11.0,20200101,3,122439
232,1,20,1,,20200101,3,122547
233,1,21,2,,20200101,3,122610
234,2,17,5,16.0,20200101,3,122705
235,1,10,11,,20200101,3,122844
236,1,19,1,,20200101,3,122948
237,2,18,8,16.0,20200101,3,123055
238,1,15,8,8.0,20200101,3,123145
239,1,17,5,3.0,20200101,3,123230
240,1,15,7,8.0,20200101,3,123426
241,2,18,7,15.0,20200101,3,123619
242,1,16,7,12.0,20200101,3,123621
243,1,10,11,,20200101,3,123642
244,1,14,8,19.0,20200101,3,123645
245,1,11,15,,20200101,3,123648
246,1,19,2,,20200101,3,123739
247,1,11,2,,20200101,3,123809
248,2,20,7,18.0,20200101,3,123859
249,2,20,7,18.0,20200101,3,124221
250,1,15,4,8.0,20200101,3,124604
251,2,18,8,15.0,20200101,3,124608
252,1,12,4,7.0,20200101,3,124612
253,1,22,1,,20200101,3,124619
254,1,21,1,,20200101,3,124620
255,1,1,7,4.0,20200101,3,124634
256,1,13,7,19.0,20200101,3,124641
257,2,18,3,15.0,20200101,3,124807
258,1,15,8,8.0,20200101,3,124808
259,1,10,11,,20200101,3,124820
260,1,16,7,14.0,20200101,3,124833
261,1,17,2,,20200101,3,124952
262,2,20,3,18.0,20200101,3,125228
263,1,15,4,8.0,20200101,3,125526
264,2,20,3,16.0,20200101,3,125658
265,2,18,8,16.0,20200101,3,125702
266,1,15,8,8.0,20200101,3,125803
267,2,18,4,16.0,20200101,3,130051
268,2,18,3,15.0,20200101,3,130158
269,2,12,4,17.0,20200101,3,130213
270,1,15,7,8.0,20200101,3,130304
271,1,8,1,,20200101,3,130400
272,1,15,2,,20200101,3,130442
273,1,11,1,,20200101,3,130448
274,1,7,3,3.0,20200101,3,130452
275,1,16,3,14.0,20200101,3,130503
276,2,20,3,18.0,20200101,3,130548
277,1,4,1,,20200101,3,130609
278,1,12,7,2.0,20200101,3,130624
279,1,14,2,,20200101,3,130732
280,1,12,3,7.0,20200101,3,130810
281,1,14,1,,20200101,3,130813
282,2,20,4,18.0,20200101,3,130839
283,1,11,12,,20200101,3,131345
284,1,3,1,,20200101,3,131410
285,1,17,1,,20200101,3,131601
286,2,13,8,18.0,20200101,3,131614
287,1,9,3,3.0,20200101,3,131614
288,1,11,12,,20200101,3,131825
289,1,12,2,,20200101,3,131900
290,1,12,1,,20200101,3,132004
291,1,10,15,,20200101,3,132134
292,1,21,2,,20200101,3,132137
293,1,18,2,,20200101,3,132335
294,1,18,1,,20200101,3,132345
295,1,1,7,4.0,20200101,3,132500
296,1,8,3,3.0,20200101,3,132625
297,1,12,8,5.0,20200101,3,132709
298,1,18,2,,20200101,3,132739
299,1,16,3,19.0,20200101,3,132815
300,1,18,1,,20200101,3,132822
301,1,1,7,3.0,20200101,3,132912
302,1,11,14,,20200101,3,133349
303,1,4,3,3.0,20200101,3,133551
304,2,22,3,18.0,20200101,3,133556
305,1,20,2,,20200101,3,133648
306,1,8,3,4.0,20200101,3,133730
307,1,16,8,14.0,20200101,3,133812
308,1,7,3,4.0,20200101,3,133842
309,1,16,7,13.0,20200101,3,134312
310,1,17,5,6.0,20200101,3,134331
311,1,19,1,,20200101,3,134335
312,1,16,4,14.0,20200101,3,134412
313,2,13,3,18.0,20200101,3,134424
314,1,2,4,12.0,20200101,3,134454
315,1,5,3,4.0,20200101,3,134502
316,1,19,3,19.0,20200101,3,134543
317,1,11,11,,20200101,3,134557
318,1,19,2,,20200101,3,134645
319,1,2,7,4.0,20200101,3,134645
320,2,22,4,15.0,20200101,3,134935
321,1,15,1,,20200101,3,135012
322,1,15,3,8.0,20200101,3,135018
323,1,15,2,,20200101,3,135021
324,1,19,1,,20200101,3,135106
325,1,13,3,19.0,20200101,3,135115
326,1,13,4,19.0,20200101,3,135135
327,2,14,7,18.0,20200101,3,135210
328,1,11,15,,20200101,3,135348
329,1,20,1,,20200101,3,135426
330,1,16,4,13.0,20200101,3,135446
331,2,18,4,16.0,20200101,3,135458
332,1,12,2,,20200101,3,135528
333,2,19,3,18.0,20200101,3,135609
334,1,17,2,,20200101,3,135635
335,1,6,2,,20200101,3,135836
336,1,11,14,,20200101,3,135857
337,1,21,1,,20200101,3,140115
338,1,17,1,,20200101,3,140128
339,2,20,4,18.0,20200101,3,140328
340,2,19,3,17.0,20200101,3,140347
341,1,1,3,9.0,20200101,3,140436
342,1,12,1,,20200101,3,140623
343,1,17,5,1.0,20200101,3,140707
344,2,18,7,15.0,20200101,3,140741
345,1,14,7,19.0,20200101,3,140859
346,1,7,2,,20200101,3,140907
347,1,16,4,13.0,20200101,3,140913
348,2,13,4,18.0,20200101,3,141040
349,1,10,11,,20200101,3,141118
350,2,20,3,16.0,20200101,3,141141
351,1,14,4,19.0,20200101,3,141301
352,1,12,2,,20200101,3,141416
353,1,16,7,13.0,20200101,3,141428
354,2,19,3,16.0,20200101,3,141500
355,1,15,1,,20200101,3,141509
356,1,16,7,14.0,20200101,3,141556
357,1,10,13,,20200101,3,141624
358,1,15,3,8.0,20200101,3,141625
359,1,12,1,,20200101,3,141645
360,1,15,2,,20200101,3,141659
361,1,20,2,,20200101,3,141702
362,1,6,1,,20200101,3,141718
363,2,18,4,15.0,20200101,3,141809
364,1,15,1,,20200101,3,141822
365,1,12,8,1.0,20200101,3,141954
366,1,15,7,8.0,20200101,3,142044
367,1,16,3,3.0,20200101,3,142148
368,2,18,3,15.0,20200101,3,142337
369,1,18,2,,20200101,3,142520
370,1,3,2,,20200101,3,142609
371,1,3,1,,20200101,3,143002
372,1,11,15,,20200101,3,143016
373,2,13,8,18.0,20200101,3,143210
374,2,21,3,15.0,20200101,3,143355
375,1,14,4,19.0,20200101,3,143523
376,2,15,3,18.0,20200101,3,143746
377,1,10,11,,20200101,3,143756
378,1,19,2,,20200101,3,143756
379,2,13,3,17.0,20200101,3,143905
380,2,13,7,18.0,20200101,3,143959
381,1,5,3,4.0,20200101,3,144013
382,1,1,2,,20200101,3,144105
383,1,17,2,,20200101,3,144135
384,1,15,3,8.0,20200101,3,144219
385,1,16,2,,20200101,3,144325
386,1,20,1,,20200101,3,144350
387,1,11,12,,20200101,3,144540
388,1,6,2,,20200101,3,144730
389,1,19,1,,20200101,3,144957
390,1,19,3,19.0,20200101,3,145005
391,2,20,3,17.0,20200101,3,145040
392,1,15,8,8.0,20200101,3,145255
393,1,17,1,,20200101,3,145318
394,1,10,2,,20200101,3,145346
395,2,13,3,17.0,20200101,3,145359
396,2,20,3,18.0,20200101,3,145415
397,1,18,1,,20200101,3,145425
398,1,10,1,,20200101,3,145448
399,1,16,1,,20200101,3,145508
400,2,21,3,18.0,20200101,3,145922
401,1,13,3,11.0,20200101,3,145958
402,2,18,8,15.0,20200101,3,150105
403,2,13,4,18.0,20200101,3,150155
404,1,15,3,8.0,20200101,3,150307
405,1,10,14,,20200101,3,150452
406,1,6,1,,20200101,3,150610
407,1,16,4,14.0,20200101,3,150622
408,1,10,11,,20200101,3,150824
409,1,9,3,4.0,20200101,3,150847
410,1,2,7,4.0,20200101,3,150905
411,2,22,4,15.0,20200101,3,150928
412,1,2,4,4.0,20200101,3,151012
413,2,14,8,18.0,20200101,3,151148
414,1,19,3,19.0,20200101,3,151339
415,1,2,2,,20200101,3,151343
416,2,22,3,18.0,20200101,3,151402
417,1,11,13,,20200101,3,151453
418,2,12,7,17.0,20200101,3,151457
419,1,9,2,,20200101,3,151513
420,1,12,7,6.0,20200101,3,151550
421,1,3,4,4.0,20200101,3,151552
422,1,17,2,,20200101,3,151605
423,1,12,8,7.0,20200101,3,151622
424,1,10,13,,20200101,3,151720
425,1,12,2,,20200101,3,151832
426,2,15,3,18.0,20200101,3,151953
427,1,16,8,12.0,20200101,3,152014
428,2,19,3,16.0,20200101,3,152203
429,1,17,1,,20200101,3,152247
430,1,19,2,,20200101,3,152346
431,1,11,15,,20200101,3,152412
432,2,22,3,15.0,20200101,3,152427
433,2,17,5,16.0,20200101,3,152431
434,1,20,2,,20200101,3,152635
435,1,15,8,8.0,20200101,3,152643
436,1,12,1,,20200101,3,152938
437,1,20,1,,20200101,3,152951
438,1,21,2,,20200101,3,153025
439,1,9,1,,20200101,3,153046
440,2,18,3,15.0,20200101,3,153053
441,1,15,2,,20200101,3,153142
442,1,19,1,,20200101,3,153145
443,2,18,8,15.0,20200101,3,153200
444,1,10,12,,20200101,3,153217
445,2,19,3,18.0,20200101,3,153334
446,1,21,1,,20200101,3,153615
447,2,20,7,18.0,20200101,3,153639
448,1,15,1,,20200101,3,153705
449,1,19,3,19.0,20200101,3,153727
450,1,16,4,14.0,20200101,3,153740
451,1,12,2,,20200101,3,153934
452,1,16,3,12.0,20200101,3,153936
453,2,21,4,15.0,20200101,3,154014
454,1,3,2,,20200101,3,154102
455,1,15,2,,20200101,3,154239
456,1,16,3,9.0,20200101,3,154307
457,1,15,1,,20200101,3,154403
458,2,21,3,18.0,20200101,3,154512
459,1,12,1,,20200101,3,154558
460,1,16,8,12.0,20200101,3,154635
461,1,14,7,19.0,20200101,3,154824
462,1,16,4,10.0,20200101,3,154942
463,1,19,2,,20200101,3,155022
464,2,20,4,18.0,20200101,3,155119
465,1,20,2,,20200101,3,155140
466,1,19,1,,20200101,3,155247
467,1,20,1,,20200101,3,155320
468,1,14,2,,20200101,3,155436
469,2,22,4,15.0,20200101,3,155452
470,2,20,8,18.0,20200101,3,155528
471,1,14,1,,20200101,3,155807
472,2,19,3,17.0,20200101,3,155917
473,1,14,2,,20200101,3,160047
474,1,2,1,,20200101,3,160056
475,1,14,1,,20200101,3,160105
476,2,20,8,18.0,20200101,3,160119
477,2,18,7,15.0,20200101,3,160518
478,1,15,8,8.0,20200101,3,160602
479,1,9,2,,20200101,3,160635
480,2,21,3,18.0,20200101,3,160717
481,1,10,13,,20200101,3,161007
482,1,11,15,,20200101,3,161030
483,2,22,3,15.0,20200101,3,161049
484,1,3,1,,20200101,3,161220
485,1,19,2,,20200101,3,161228
486,2,13,3,16.0,20200101,3,161241
487,1,2,2,,20200101,3,161412
488,2,20,3,16.0,20200101,3,161445
489,1,19,1,,20200101,3,161655
490,1,15,8,8.0,20200101,3,161951
491,1,22,2,,20200101,3,162022
492,1,19,3,19.0,20200101,3,162133
493,1,9,1,,20200101,3,162408
494,1,12,8,2.0,20200101,3,162512
495,1,16,2,,20200101,3,162529
496,1,2,1,,20200101,3,162604
497,1,15,2,,20200101,3,162901
498,1,16,1,,20200101,3,162913
499,2,12,8,17.0,20200101,3,162934
500,1,19,3,19.0,20200101,3,163120
501,2,18,8,15.0,20200101,3,163410
502,1,15,1,,20200101,3,163416
503,1,9,2,,20200101,3,163447
504,1,4,2,,20200101,3,163452
505,1,5,3,3.0,20200101,3,163501
506,1,16,2,,20200101,3,163547
507,1,14,8,19.0,20200101,3,163649
508,2,18,7,16.0,20200101,3,163937
509,1,22,1,,20200101,3,163948
510,1,17,2,,20200101,3,164012
511,1,10,2,,20200101,3,164141
512,2,12,7,17.0,20200101,3,164329
513,2,18,7,15.0,20200101,3,164334
514,2,18,8,15.0,20200101,3,164547
515,1,16,1,,20200101,3,164547
516,1,1,1,,20200101,3,164633
517,2,18,3,15.0,20200101,3,164633
518,1,17,1,,20200101,3,164702
519,2,20,3,16.0,20200101,3,164847
520,1,17,2,,20200101,3,165115
521,2,18,3,16.0,20200101,3,165133
522,1,13,4,19.0,20200101,3,165206
523,2,20,8,18.0,20200101,3,165227
524,2,18,3,16.0,20200101,3,165349
525,2,19,3,16.0,20200101,3,165352
526,2,14,7,18.0,20200101,3,165553
527,1,1,8,4.0,20200101,3,165618
528,1,3,7,4.0,20200101,3,165643
529,1,15,2,,20200101,3,165800
530,2,22,4,15.0,20200101,3,165815
531,1,10,1,,20200101,3,165917
532,2,14,8,18.0,20200101,3,165955
533,1,15,1,,20200101,3,165958
534,1,13,4,19.0,20200102,4,90118
535,1,15,8,8.0,20200102,4,90208
536,2,18,4,15.0,20200102,4,90245
537,1,10,14,,20200102,4,90246
538,1,11,13,,20200102,4,90315
539,2,13,3,17.0,20200102,4,90337
540,1,10,13,,20200102,4,90337
541,1,11,2,,20200102,4,90519
542,1,15,3,8.0,20200102,4,90614
543,1,15,4,8.0,20200102,4,91008
544,1,16,7,12.0,20200102,4,91100
545,2,20,7,18.0,20200102,4,91147
546,1,15,8,8.0,20200102,4,91221
547,1,15,2,,20200102,4,91335
548,1,15,1,,20200102,4,91444
549,2,14,3,16.0,20200102,4,91535
550,2,21,4,15.0,20200102,4,91554
551,2,22,3,15.0,20200102,4,91640
552,1,1,4,3.0,20200102,4,91650
553,1,17,1,,20200102,4,91839
554,1,11,1,,20200102,4,91910
555,2,20,7,18.0,20200102,4,91922
556,1,12,3,7.0,20200102,4,91924
557,1,14,2,,20200102,4,92046
558,1,14,1,,20200102,4,92109
559,2,18,8,16.0,20200102,4,92135
560,1,11,12,,20200102,4,92441
561,1,13,7,11.0,20200102,4,92518
562,1,8,3,4.0,20200102,4,92529
563,1,17,5,12.0,20200102,4,92630
564,1,12,2,,20200102,4,92635
565,2,13,8,18.0,20200102,4,92642
566,2,19,3,18.0,20200102,4,92903
567,1,8,2,,20200102,4,93007
568,1,17,2,,20200102,4,93144
569,2,20,3,17.0,20200102,4,93341
570,1,14,4,11.0,20200102,4,93357
571,1,17,1,,20200102,4,93516
572,1,20,2,,20200102,4,93529
573,1,5,2,,20200102,4,93853
574,2,18,4,16.0,20200102,4,93854
575,1,17,2,,20200102,4,93916
576,1,8,1,,20200102,4,93916
577,1,15,8,8.0,20200102,4,94017
578,1,16,7,12.0,20200102,4,94033
579,1,19,2,,20200102,4,94058
580,1,19,1,,20200102,4,94244
581,1,22,2,,20200102,4,94419
582,1,3,2,,20200102,4,94519
583,1,10,13,,20200102,4,94631
584,1,17,1,,20200102,4,94653
585,1,12,1,,20200102,4,94847
586,1,3,1,,20200102,4,94848
587,1,19,2,,20200102,4,94903
588,1,12,3,5.0,20200102,4,94953
589,1,11,15,,20200102,4,95049
590,1,16,2,,20200102,4,95119
591,1,16,1,,20200102,4,95228
592,1,12,7,1.0,20200102,4,95401
593,2,21,4,15.0,20200102,4,95440
594,1,17,5,2.0,20200102,4,95445
595,1,13,2,,20200102,4,95626
596,1,19,1,,20200102,4,95709
597,1,22,1,,20200102,4,95758
598,1,13,1,,20200102,4,95801
599,2,13,4,18.0,20200102,4,95808
600,1,2,3,4.0,20200102,4,95817
601,1,16,8,12.0,20200102,4,100059
602,1,20,1,,20200102,4,100142
603,1,12,2,,20200102,4,100222
604,1,19,2,,20200102,4,100246
605,2,22,3,18.0,20200102,4,100353
606,1,13,2,,20200102,4,100451
607,1,8,2,,20200102,4,100506
608,2,20,4,18.0,20200102,4,100517
609,1,12,1,,20200102,4,100605
610,1,16,2,,20200102,4,100607
611,2,15,3,18.0,20200102,4,100630
612,1,14,2,,20200102,4,100714
613,1,17,5,5.0,20200102,4,100904
614,2,20,3,16.0,20200102,4,101035
615,1,9,1,,20200102,4,101042
616,1,19,1,,20200102,4,101200
617,2,21,3,15.0,20200102,4,101230
618,2,21,4,15.0,20200102,4,101310
619,2,18,8,16.0,20200102,4,101458
620,1,4,1,,20200102,4,101627
621,1,17,5,5.0,20200102,4,101722
622,1,11,11,,20200102,4,101859
623,1,20,2,,20200102,4,101908
624,1,16,1,,20200102,4,102055
625,2,19,3,16.0,20200102,4,102123
626,1,9,3,3.0,20200102,4,102218
627,1,15,2,,20200102,4,102346
628,1,15,1,,20200102,4,102349
629,1,20,1,,20200102,4,102528
630,1,14,1,,20200102,4,102656
631,1,2,7,3.0,20200102,4,102803
632,1,17,5,8.0,20200102,4,102803
633,2,12,3,17.0,20200102,4,102830
634,2,22,4,15.0,20200102,4,102838
635,1,17,2,,20200102,4,102907
636,1,19,2,,20200102,4,102919
637,1,12,7,1.0,20200102,4,102924
638,2,18,3,15.0,20200102,4,103004
639,1,5,1,,20200102,4,103400
640,1,16,4,13.0,20200102,4,103435
641,2,15,3,18.0,20200102,4,103521
642,1,16,7,12.0,20200102,4,103531
643,1,19,1,,20200102,4,103553
644,1,22,2,,20200102,4,103640
645,1,17,1,,20200102,4,103738
646,2,20,4,18.0,20200102,4,103818
647,1,14,8,19.0,20200102,4,103843
648,2,21,3,15.0,20200102,4,104004
649,1,12,2,,20200102,4,104005
650,1,16,8,12.0,20200102,4,104219
651,2,18,4,15.0,20200102,4,104226
652,1,19,2,,20200102,4,104229
653,2,21,3,18.0,20200102,4,104313
654,1,14,2,,20200102,4,104316
655,2,18,8,15.0,20200102,4,104344
656,1,8,1,,20200102,4,104520
657,1,19,1,,20200102,4,104530
658,1,13,1,,20200102,4,104630
659,1,22,1,,20200102,4,104654
660,1,12,1,,20200102,4,104712
661,1,11,2,,20200102,4,104746
662,2,17,5,16.0,20200102,4,104845
663,1,14,1,,20200102,4,105055
664,1,11,1,,20200102,4,105230
665,1,15,3,8.0,20200102,4,105336
666,1,13,7,19.0,20200102,4,105336
667,2,18,4,15.0,20200102,4,105346
668,1,17,2,,20200102,4,105356
669,1,3,3,5.0,20200102,4,105359
670,1,11,12,,20200102,4,105435
671,2,19,3,18.0,20200102,4,105445
672,1,12,8,2.0,20200102,4,105601
673,1,14,2,,20200102,4,105758
674,2,20,4,18.0,20200102,4,105853
675,2,21,4,15.0,20200102,4,110129
676,1,16,8,12.0,20200102,4,110202
677,1,17,1,,20200102,4,110239
678,1,2,4,12.0,20200102,4,110343
679,1,1,7,3.0,20200102,4,110343
680,1,15,3,8.0,20200102,4,110446
681,1,15,7,8.0,20200102,4,110526
682,2,13,7,18.0,20200102,4,110844
683,1,15,4,8.0,20200102,4,110918
684,2,19,3,18.0,20200102,4,110956
685,1,17,5,12.0,20200102,4,111009
686,2,20,4,18.0,20200102,4,111102
687,2,20,3,16.0,20200102,4,111114
688,2,15,3,18.0,20200102,4,111133
689,1,19,2,,20200102,4,111145
690,1,17,2,,20200102,4,111254
691,1,10,12,,20200102,4,111433
692,1,16,8,12.0,20200102,4,111444
693,2,20,8,18.0,20200102,4,111523
694,1,19,1,,20200102,4,111701
695,1,4,2,,20200102,4,111725
696,1,19,2,,20200102,4,111743
697,1,22,2,,20200102,4,111753
698,2,13,3,15.0,20200102,4,111917
699,1,22,1,,20200102,4,111918
700,2,21,3,18.0,20200102,4,111925
701,1,14,1,,20200102,4,111945
702,2,14,8,18.0,20200102,4,112113
703,1,11,11,,20200102,4,112207
704,1,4,1,,20200102,4,112235
705,2,13,4,18.0,20200102,4,112237
706,1,12,8,7.0,20200102,4,112441
707,2,20,7,18.0,20200102,4,112512
708,1,12,2,,20200102,4,112534
709,1,14,4,19.0,20200102,4,112639
710,2,18,3,15.0,20200102,4,112643
711,2,13,4,18.0,20200102,4,112817
712,2,14,7,18.0,20200102,4,112945
