System,User,Operation,Object,Date,Time
SALES,aosinska,UPDATE,WAREHOUSES,2020-02-06,15:48:48
PM,apuzon,DROP USER,none,2020-02-06,15:55:30
SALES,mwarzycha,UPDATE,WAREHOUSES,2020-02-07,10:07:24
PM,sbaszel,INSERT,PROJECT_CATEGORY,2020-02-07,12:30:37
SALES,aosinska,UPDATE,ORDERS,2020-02-10,10:07:06
SALES,mwarzycha,SELECT,PRODUCTS,2020-02-10,10:33:50
SALES,app,SELECT,PRODUCTS,2020-02-10,12:56:03
PM,zfenicki,SELECT,ASSIGNMENTS,2020-02-10,13:13:50
PM,mjarcinska,UPDATE,PROJECT_DETAILS,2020-02-10,14:31:48
PM,mszkopianski,UPDATE,PAYMENTS,2020-02-10,16:37:32
PM,apuzon,LOGOFF,none,2020-02-10,16:42:30
SALES,app,SELECT,WAREHOUSES,2020-02-11,10:39:20
PM,pskala,LOGOFF,none,2020-02-11,10:49:56
PM,sbaszel,LOGOFF,none,2020-02-11,11:16:44
SALES,apuzon,SELECT,ORDERS,2020-02-11,12:42:07
PM,sbaszel,DELETE,PROJECT_DETAILS,2020-02-11,13:51:15
SALES,mwyjko,SELECT,DISTRIBUTORS,2020-02-11,15:16:32
PM,kuszka,UPDATE,PROJECT_DETAILS,2020-02-11,16:37:14
PM,sbaszel,LOGOFF,none,2020-02-12,10:12:02
PM,app,UPDATE,PROJECT_DETAILS,2020-02-12,10:38:57
PM,app,CREATE ROLE,none,2020-02-12,11:28:51
PM,apuzon,CREATE TABLE,none,2020-02-12,11:31:20
PM,ktarnows,UPDATE,PAYMENTS,2020-02-12,12:38:54
PM,rbielik,LOGOFF,none,2020-02-12,13:23:18
PM,kespiel,LOGOFF,none,2020-02-12,16:16:36
PM,zfenicki,CREATE ROLE,none,2020-02-12,16:45:28
PM,gnyski,LOGOFF,none,2020-02-13,09:20:33
SALES,sbaszel,SELECT,ORDERS,2020-02-13,11:09:41
SALES,app,DELETE,PRODUCTS,2020-02-13,12:29:33
SALES,pskala,INSERT,DISTRIBUTORS,2020-02-13,13:16:18
PM,mwyjko,LOGOFF,none,2020-02-13,13:49:30
PM,gostrow,ALTER,CUSTOMERS,2020-02-13,14:00:33
PM,pskala,SET ROLE,none,2020-02-13,14:44:53
PM,kuszka,LOGOFF,none,2020-02-13,15:35:55
SALES,sbaszel,DELETE,ORDERS,2020-02-13,15:45:56
PM,tlalka,CREATE TABLE,none,2020-02-14,09:27:51
PM,app,LOGOFF,none,2020-02-14,09:41:09
PM,amaly,LOGOFF,none,2020-02-14,12:29:04
PM,jsmidt,SELECT,PAYMENTS,2020-02-17,09:06:49
PM,app,INSERT,ASSIGNMENTS,2020-02-17,10:42:50
SALES,app,ALTER,DISTRIBUTORS,2020-02-17,12:26:38
PM,adynka,LOGOFF,none,2020-02-17,12:39:31
PM,adynka,LOGOFF,none,2020-02-17,13:24:42
PM,mwarzycha,ALTER,EMPLOYEES,2020-02-17,13:32:09
PM,ktarnows,CREATE TABLE,none,2020-02-17,15:36:12
SALES,ktarnows,DELETE,ORDERS,2020-02-18,09:57:10
SALES,sbaszel,SELECT,ORDERS,2020-02-18,12:33:36
PM,ktarnows,SET ROLE,none,2020-02-18,13:29:44
SALES,ktarnows,SELECT,DISTRIBUTORS,2020-02-18,15:08:41
SALES,tlalka,SELECT,ORDERS,2020-02-18,15:59:00
PM,mjarcinska,LOGOFF,none,2020-02-19,11:24:05
SALES,jsmidt,ALTER,ORDERS,2020-02-19,13:01:04
SALES,ktarnows,SELECT,DISTRIBUTORS,2020-02-19,15:01:08
PM,amaly,INSERT,PROJECTS,2020-02-19,16:10:45
SALES,amaly,UPDATE,PRODUCTS,2020-02-19,16:43:46
PM,amaly,LOGOFF,none,2020-02-20,09:12:19
PM,amaly,LOGOFF,none,2020-02-20,10:18:04
PM,gnyski,LOGOFF,none,2020-02-20,10:35:19
PM,kespiel,LOGOFF,none,2020-02-20,11:29:25
PM,mwarzycha,INSERT,PROJECT_CATEGORY,2020-02-20,12:15:39
PM,amaly,LOGOFF,none,2020-02-20,14:25:12
SALES,amaly,DELETE,ORDERS,2020-02-20,15:43:31
PM,mwarzycha,UPDATE,TASKS,2020-02-20,16:07:59
PM,gnyski,LOGOFF,none,2020-02-21,13:52:20
SALES,apuzon,DELETE,ORDERS,2020-02-21,14:53:31
PM,app,DELETE,ASSIGNMENTS,2020-02-21,15:16:11
PM,apuzon,LOGOFF,none,2020-02-21,15:47:04
PM,ktarnows,DROP USER,none,2020-02-24,11:01:04
PM,amaly,DELETE,ASSIGNMENTS,2020-02-24,12:00:10
PM,apuzon,INSERT,EMPLOYEES,2020-02-24,12:12:00
PM,apuzon,ALTER USER,none,2020-02-24,12:38:13
PM,sbaszel,LOGOFF,none,2020-02-24,14:17:00
SALES,rbielik,ALTER,WAREHOUSES,2020-02-24,16:42:56
SALES,ktarnows,INSERT,ORDERS,2020-02-25,10:08:57
SALES,amaly,SELECT,ORDERS,2020-02-25,10:24:33
PM,mwyjko,LOGOFF,none,2020-02-25,14:24:13
PM,mszkopianski,SELECT,TASKS,2020-02-25,15:57:22
PM,app,UPDATE,CUSTOMERS,2020-02-26,11:44:07
SALES,aosinska,SELECT,PRODUCTS,2020-02-26,12:26:34
SALES,gostrow,UPDATE,ORDERS,2020-02-26,12:30:19
PM,ktarnows,SET ROLE,none,2020-02-26,12:40:06
PM,mwarzycha,LOGOFF,none,2020-02-26,13:26:59
PM,sbaszel,INSERT,DEPARTMENTS,2020-02-26,14:54:08
PM,mjarcinska,CREATE TABLE,none,2020-02-26,14:54:54
PM,kespiel,LOGOFF,none,2020-02-26,15:07:58
SALES,aosinska,UPDATE,DISTRIBUTORS,2020-02-26,15:38:40
PM,sbaszel,SELECT,CUSTOMERS,2020-02-27,09:03:38
SALES,aosinska,DELETE,WAREHOUSES,2020-02-27,09:32:42
SALES,aosinska,INSERT,ORDERS,2020-02-27,10:53:51
PM,aosinska,INSERT,EXPERIENCES,2020-02-27,11:28:56
SALES,kespiel,INSERT,PRODUCTS,2020-02-27,12:02:42
PM,apuzon,SELECT,EXPERIENCES,2020-02-27,13:48:57
PM,sbaszel,LOGOFF,none,2020-02-27,15:30:28
PM,aosinska,LOGOFF,none,2020-02-28,13:49:32
PM,sbaszel,LOGOFF,none,2020-02-28,16:16:37
SALES,anowotworski,INSERT,PRODUCTS,2020-03-02,09:15:45
SALES,aosinska,UPDATE,WAREHOUSES,2020-03-02,09:47:31
SALES,kespiel,SELECT,WAREHOUSES,2020-03-02,11:15:15
SALES,mjarcinska,INSERT,ORDERS,2020-03-02,11:37:14
SALES,apuzon,INSERT,WAREHOUSES,2020-03-02,12:42:06
PM,sbaszel,SELECT,CUSTOMERS,2020-03-02,14:44:32
PM,mwyjko,LOGOFF,none,2020-03-03,10:18:49
PM,ktarnows,DELETE,ASSIGNMENTS,2020-03-03,11:15:01
PM,aosinska,CREATE ROLE,none,2020-03-03,13:30:52
PM,zfenicki,LOGOFF,none,2020-03-03,13:39:06
PM,anowotworski,DROP USER,none,2020-03-03,16:54:28
SALES,app,UPDATE,WAREHOUSES,2020-03-04,15:00:01
PM,adynka,LOGOFF,none,2020-03-04,15:45:46
PM,aosinska,LOGOFF,none,2020-03-04,15:49:32
PM,app,INSERT,PAYMENTS,2020-03-04,16:56:15
PM,mjarcinska,LOGOFF,none,2020-03-05,09:22:27
PM,apuzon,LOGOFF,none,2020-03-05,12:40:52
PM,mwarzycha,SELECT,PAYMENTS,2020-03-05,14:01:24
PM,gnyski,DELETE,PAYMENTS,2020-03-05,14:18:29
SALES,kespiel,INSERT,ORDERS,2020-03-05,15:34:18
PM,app,SET ROLE,none,2020-03-05,15:40:45
SALES,mwarzycha,SELECT,ORDERS,2020-03-06,10:23:40
PM,mwarzycha,LOGOFF,none,2020-03-06,11:44:05
PM,gnyski,INSERT,PAYMENTS,2020-03-06,13:07:05
PM,kuszka,INSERT,PAYMENTS,2020-03-06,13:52:51
SALES,apuzon,UPDATE,WAREHOUSES,2020-03-06,14:13:52
PM,amaly,LOGOFF,none,2020-03-06,16:53:13
PM,apuzon,SELECT,ASSIGNMENTS,2020-03-09,09:58:31
PM,rbielik,INSERT,PROJECT_DETAILS,2020-03-09,11:00:24
PM,sbaszel,INSERT,PAYMENTS,2020-03-09,11:28:45
PM,gnyski,LOGOFF,none,2020-03-09,15:01:54
SALES,rbielik,UPDATE,WAREHOUSES,2020-03-09,15:27:56
SALES,apuzon,UPDATE,WAREHOUSES,2020-03-09,15:36:31
PM,rbielik,CREATE TABLE,none,2020-03-09,15:40:40
SALES,jsmidt,ALTER,ORDERS,2020-03-10,09:29:55
PM,gostrow,LOGOFF,none,2020-03-10,12:08:41
PM,mszkopianski,LOGOFF,none,2020-03-10,12:31:49
PM,mwarzycha,SELECT,ASSIGNMENTS,2020-03-10,13:00:14
PM,aosinska,LOGOFF,none,2020-03-10,13:20:42
PM,kuszka,UPDATE,EMPLOYEES,2020-03-10,13:28:33
PM,aosinska,DELETE,CLIENTS,2020-03-10,13:28:44
PM,kespiel,SELECT,PAYMENTS,2020-03-10,15:30:22
PM,app,UPDATE,DEPARTMENTS,2020-03-11,09:28:07
PM,amaly,LOGOFF,none,2020-03-11,11:34:10
SALES,app,DELETE,PRODUCTS,2020-03-12,09:58:37
PM,app,LOGOFF,none,2020-03-12,11:47:17
SALES,gnyski,INSERT,ORDERS,2020-03-12,12:10:17
PM,aosinska,ALTER,PROJECT_TYPE,2020-03-12,12:27:31
PM,pskala,LOGOFF,none,2020-03-12,13:26:56
PM,mwyjko,LOGOFF,none,2020-03-12,14:08:11
SALES,mszkopianski,UPDATE,WAREHOUSES,2020-03-12,15:43:24
PM,sbaszel,LOGOFF,none,2020-03-12,15:53:25
PM,ktarnows,INSERT,PROJECTS,2020-03-12,16:12:31
SALES,jsmidt,SELECT,PRODUCTS,2020-03-12,16:26:48
SALES,pskala,SELECT,WAREHOUSES,2020-03-13,09:08:02
PM,apuzon,UPDATE,PROJECTS,2020-03-13,13:49:08
SALES,sbaszel,UPDATE,WAREHOUSES,2020-03-13,14:30:00
SALES,mjarcinska,SELECT,DISTRIBUTORS,2020-03-13,15:34:01
PM,apuzon,CREATE ROLE,none,2020-03-13,16:13:04
PM,aosinska,INSERT,PAYMENTS,2020-03-16,14:10:56
PM,rbielik,LOGOFF,none,2020-03-16,15:08:03
PM,sbaszel,INSERT,CUSTOMERS,2020-03-16,16:51:37
PM,aosinska,LOGOFF,none,2020-03-17,09:13:07
PM,ktarnows,SELECT,SKILLS,2020-03-17,11:59:26
PM,mwyjko,LOGOFF,none,2020-03-17,16:45:11
PM,sbaszel,LOGOFF,none,2020-03-18,09:34:16
PM,app,SELECT,CLIENTS,2020-03-18,10:15:43
PM,ktarnows,SELECT,CUSTOMERS,2020-03-18,13:26:38
PM,gostrow,LOGOFF,none,2020-03-19,09:55:09
PM,kuszka,LOGOFF,none,2020-03-19,10:07:13
SALES,sbaszel,INSERT,ORDERS,2020-03-19,10:11:04
PM,app,LOGOFF,none,2020-03-19,10:30:02
PM,zfenicki,LOGOFF,none,2020-03-19,12:02:55
PM,apuzon,SELECT,CUSTOMERS,2020-03-19,12:48:04
PM,gostrow,LOGOFF,none,2020-03-19,13:00:12
SALES,ktarnows,UPDATE,WAREHOUSES,2020-03-19,13:47:30
SALES,ktarnows,SELECT,DISTRIBUTORS,2020-03-19,16:09:15
PM,mwyjko,ALTER,SKILLS,2020-03-20,12:26:26
PM,ktarnows,INSERT,PAYMENTS,2020-03-20,12:52:36
PM,ktarnows,SELECT,TASKS,2020-03-20,13:47:13
SALES,mwarzycha,DELETE,ORDERS,2020-03-20,14:35:33
SALES,apuzon,UPDATE,ORDERS,2020-03-20,16:07:27
PM,amaly,LOGOFF,none,2020-03-23,09:38:56
PM,ktarnows,LOGOFF,none,2020-03-23,11:48:30
PM,ktarnows,LOGOFF,none,2020-03-23,12:39:19
PM,amaly,SET ROLE,none,2020-03-23,13:43:18
SALES,adynka,UPDATE,PRODUCTS,2020-03-24,09:21:43
PM,app,SELECT,TASKS,2020-03-24,09:31:00
PM,sbaszel,LOGOFF,none,2020-03-24,12:13:04
SALES,kuszka,UPDATE,ORDERS,2020-03-24,13:28:27
PM,rbielik,INSERT,PAYMENTS,2020-03-24,15:14:37
PM,zkrepy,SELECT,PROJECT_CATEGORY,2020-03-24,15:59:10
PM,amaly,LOGOFF,none,2020-03-24,16:29:21
PM,ktarnows,LOGOFF,none,2020-03-24,16:41:09
PM,mwarzycha,LOGOFF,none,2020-03-24,16:51:03
PM,ktarnows,DELETE,CLIENTS,2020-03-24,16:59:20
SALES,aosinska,INSERT,ORDERS,2020-03-25,09:46:03
PM,zfenicki,LOGOFF,none,2020-03-25,15:53:45
PM,gnyski,UPDATE,SKILLS,2020-03-26,09:13:49
PM,rbielik,LOGOFF,none,2020-03-26,11:02:15
PM,apuzon,INSERT,EMPLOYEES,2020-03-26,12:34:01
PM,gostrow,LOGOFF,none,2020-03-26,15:00:48
PM,amaly,SET ROLE,none,2020-03-27,10:27:06
PM,mjarcinska,LOGOFF,none,2020-03-27,10:31:43
PM,amaly,LOGOFF,none,2020-03-27,10:45:19
PM,sbaszel,DELETE,DEPARTMENTS,2020-03-27,11:06:08
PM,kuszka,LOGOFF,none,2020-03-27,11:18:11
PM,mwarzycha,LOGOFF,none,2020-03-27,13:31:54
SALES,gnyski,SELECT,WAREHOUSES,2020-03-27,13:54:55
PM,ktarnows,LOGOFF,none,2020-03-27,14:58:48
PM,mjarcinska,SELECT,CUSTOMERS,2020-03-27,16:03:08
PM,ktarnows,LOGOFF,none,2020-03-30,09:42:58
PM,rbielik,LOGOFF,none,2020-03-30,10:41:10
PM,sbaszel,LOGOFF,none,2020-03-30,11:38:24
PM,apuzon,SELECT,CUSTOMERS,2020-03-30,15:03:45
PM,mwarzycha,DELETE,PAYMENTS,2020-03-30,15:29:15
PM,apuzon,ALTER,DEPARTMENTS,2020-03-30,15:38:56
PM,apuzon,LOGOFF,none,2020-03-30,16:52:01
PM,app,CREATE TABLE,none,2020-03-31,09:47:25
SALES,mwyjko,UPDATE,WAREHOUSES,2020-03-31,10:10:29
SALES,jsmidt,UPDATE,ORDERS,2020-03-31,11:08:32
PM,tlalka,UPDATE,PAYMENTS,2020-03-31,11:19:00
PM,mwyjko,LOGOFF,none,2020-04-01,09:21:15
SALES,sbaszel,SELECT,PRODUCTS,2020-04-01,09:35:46
PM,mwarzycha,INSERT,CUSTOMERS,2020-04-01,11:53:58
PM,amaly,ALTER USER,none,2020-04-01,13:58:08
PM,amaly,LOGOFF,none,2020-04-01,13:58:57
SALES,amaly,UPDATE,WAREHOUSES,2020-04-01,14:17:23
PM,app,UPDATE,EXPERIENCES,2020-04-01,15:44:13
PM,adynka,UPDATE,SKILLS,2020-04-01,16:06:55
PM,mjarcinska,SELECT,DEPARTMENTS,2020-04-02,10:11:22
PM,pskala,LOGOFF,none,2020-04-02,10:50:17
PM,app,UPDATE,ASSIGNMENTS,2020-04-02,11:39:26
PM,aosinska,SET ROLE,none,2020-04-02,15:49:05
PM,sbaszel,LOGOFF,none,2020-04-03,09:38:30
PM,mszkopianski,LOGOFF,none,2020-04-03,11:23:06
PM,kuszka,ALTER USER,none,2020-04-03,13:21:57
PM,mwarzycha,ALTER USER,none,2020-04-06,09:47:55
PM,tlalka,LOGOFF,none,2020-04-06,10:53:23
SALES,apuzon,SELECT,ORDERS,2020-04-06,11:10:19
SALES,rbielik,SELECT,PRODUCTS,2020-04-06,11:41:00
PM,gostrow,ALTER USER,none,2020-04-06,12:01:01
PM,app,LOGOFF,none,2020-04-06,13:00:34
PM,gnyski,LOGOFF,none,2020-04-06,13:27:59
PM,mszkopianski,LOGOFF,none,2020-04-06,14:30:53
SALES,tlalka,SELECT,WAREHOUSES,2020-04-07,10:21:26
PM,mszkopianski,LOGOFF,none,2020-04-07,10:32:02
PM,amaly,SELECT,TASKS,2020-04-07,10:55:59
PM,kespiel,UPDATE,PROJECT_DETAILS,2020-04-07,13:50:15
PM,kespiel,LOGOFF,none,2020-04-07,14:24:00
PM,aosinska,INSERT,CLIENTS,2020-04-07,15:31:44
PM,ktarnows,INSERT,PROJECT_CATEGORY,2020-04-08,14:01:30
PM,mwarzycha,LOGOFF,none,2020-04-08,14:23:56
SALES,apuzon,INSERT,ORDERS,2020-04-08,16:11:08
PM,kespiel,LOGOFF,none,2020-04-09,09:42:06
PM,amaly,ALTER,DEPARTMENTS,2020-04-09,11:36:16
PM,app,INSERT,CUSTOMERS,2020-04-09,11:56:05
PM,kuszka,LOGOFF,none,2020-04-09,12:46:44
PM,app,SELECT,CUSTOMERS,2020-04-09,15:13:46
PM,apuzon,UPDATE,PROJECT_DETAILS,2020-04-09,16:21:05
PM,mwarzycha,ALTER,PAYMENTS,2020-04-10,09:24:04
PM,anowotworski,SELECT,PAYMENTS,2020-04-10,13:06:02
